UniProt	Genes of a reaction from All instances of Reactions in Prochlorococcus marinus pastoris CCMP1986	Matches	EC-Number	Accession-1	Accession-2	Gene products (polypeptides and RNAs only)
Q7TUH4	ndhF	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM0149	TX50_RS00780	ferredoxin-quinone oxidoreductase subunit F
Q7TUH2	ndhG	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM0158	TX50_RS00825	ferredoxin-quinone oxidoreductase subunit G
Q7V3B0	ndhH	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM0172	TX50_RS00895	ferredoxin-quinone oxidoreductase subunit H
Q7TUH1	ndhI	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM0159	TX50_RS00830	ferredoxin-quinone oxidoreductase subunit I
Q7V304	ndhJ	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM0292	TX50_RS01515	ferredoxin-quinone oxidoreductase subunit J
Q7V303	ndhK	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM0293	TX50_RS01520	ferredoxin-quinone oxidoreductase subunit K
Q7V2B1	ndhL	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM0570	TX50_RS03045	ferredoxin-quinone oxidoreductase subunit L
Q7V3D1	ndhM	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM0145	TX50_RS00760	ferredoxin-quinone oxidoreductase subunit M
Q7UZU6	ndhN	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM1559	TX50_RS08345	ferredoxin-quinone oxidoreductase subunit N
Q7V3F4	ndhO	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM0121	TX50_RS00635	ferredoxin-quinone oxidoreductase subunit O
Q7UZQ4	ndhS	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM1604	TX50_RS08585	ferredoxin-quinone oxidoreductase subunit S
Q7V1M0	ndhV	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 4 H+[out]  ->  4 H+[in] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + a plastoquinone[membrane] + 6 H+[out]  ->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + a plastoquinol[membrane] + 4 H+[in]	EC-7.1.1.10	PMM0845	TX50_RS04520	ferredoxin-quinone oxidoreductase subunit V
Q7V3M8	ndk	UDP + ATP  ->  UTP + ADP // GDP + ATP  ->  GTP + ADP // dUDP + ATP  ->  dUTP + ADP // dTDP + ATP  ->  dTTP + ADP // dGDP + ATP  ->  dGTP + ADP // dCDP + ATP  ->  dCTP + ADP // dADP + ATP  ->  dATP + ADP // CDP + ATP  ->  CTP + ADP // ATP + dZDP  ->  ADP + dZTP	EC-2.7.4.6	PMM0046	TX50_RS00245	nucleoside-diphosphate kinase
Q7V2K4	nhaP	Na<sup>+</sup>:proton antiport		PMM0472	TX50_RS02535	Na+/H+ antiporter
Q7V230	nrdJ	2 a 2'-deoxyribonucleoside 5'-diphosphate + oxidized thioredoxin + H2O  <-  2 a ribonucleoside diphosphate + reduced thioredoxin	EC-1.17.4.1	PMM0661	TX50_RS03520	B<sub>12</sub>-dependent ribonucleotide reductase
Q7V1Q4	nth	DNA containing an apurinic/apyrimidinic site  ->  a DNA with 3'-terminal unsaturated sugar + 5'-phospho-[DNA] + H+	EC-4.2.99.18	PMM0802	TX50_RS04275	endonuclease III
Q7V399	pabA	N-(5-phosphoribosyl)-anthranilate + diphosphate  <-  anthranilate + 5-phospho-alpha-D-ribose 1-diphosphate // chorismate + L-glutamine  ->  4-amino-4-deoxychorismate + L-glutamate // chorismate + ammonia + H+  ->  4-amino-4-deoxychorismate + H2O	EC-2.4.2.18 // EC-2.6.1.85	PMM0184	TX50_RS00955	aminodeoxychorismate/anthranilate synthase component II
Q7UZH3	pabC	4-amino-4-deoxychorismate  ->  4-aminobenzoate + pyruvate + H+	EC-4.1.3.38	PMM1693	TX50_RS09040	4-amino-4-deoxychorismate lyase
Q7TU60	panB	a 5,10-methylenetetrahydrofolate + 3-methyl-2-oxobutanoate + H2O  ->  2-dehydropantoate + a tetrahydrofolate // 3-methyl-2-oxobutanoate + 5,10-methylene-tetrahydromethanopterin + H2O  =  2-dehydropantoate + tetrahydromethanopterin	EC-2.1.2.11	PMM1310	TX50_RS07030	3-methyl-2-oxobutanoate hydroxymethyltransferase
Q7UZR6	panC/cmk	beta-alanine + (R)-pantoate + ATP  ->  (R)-pantothenate + AMP + diphosphate + H+ // ATP + dCMP  ->  ADP + dCDP // ATP + CMP  <-->  ADP + CDP	EC-6.3.2.1 // EC-2.7.4.25 // EC-2.7.4.14 // EC-2.7.4.13	PMM1590	TX50_RS08510	bifunctional pantoate ligase/cytidylate kinase
Q93TL5	pcyA	(2R,3Z)-phycocyanobilin + 4 oxidized ferredoxin [iron-sulfur] cluster  <-  (Z,Z)-biliverdin-IX alpha + 4 reduced ferredoxin [iron-sulfur] cluster + 4 H+	EC-1.3.7.5	PMM0747	TX50_RS04005	phycocyanobilin:ferredoxin oxidoreductase
Q7V3D2	pds	15-<em>cis</em>-phytoene desaturase // 15-cis-phytoene + 2 a plastoquinone  ->  9,15,9'-tri-cis-zeta-carotene + 2 a plastoquinol // 15-<em>cis</em>-phytoene desaturase	EC-1.3.5.5	PMM0144	TX50_RS00755	Phytoene dehydrogenase, phytoene desaturase
Q7V3P4	pdxA	4-phosphooxy-L-threonine + NAD+  ->  3-amino-1-hydroxyacetone 1-phosphate + CO2 + NADH	EC-1.1.1.262	PMM0028	TX50_RS00155	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
Q7V0Y7	pdxJ	1-deoxy-D-xylulose 5-phosphate + 3-amino-1-hydroxyacetone 1-phosphate  ->  pyridoxine 5'-phosphate + phosphate + H+ + 2 H2O	EC-2.6.99.2	PMM1107	TX50_RS05935	pyridoxine 5'-phosphate synthase
Q93SN8	pebA	15,16-dihydrobiliverdin + 2 oxidized ferredoxin [iron-sulfur] cluster  <-  (Z,Z)-biliverdin-IX alpha + 2 reduced ferredoxin [iron-sulfur] cluster + 2 H+	EC-1.3.7.2	PMM1593	TX50_RS08525	15,16-dihydrobiliverdin:ferredoxin oxidoreductase
Q93SN7	pebB	(3Z)-phycoerythrobilin + 2 oxidized ferredoxin [iron-sulfur] cluster  <-  15,16-dihydrobiliverdin + 2 reduced ferredoxin [iron-sulfur] cluster + 2 H+	EC-1.3.7.3	PMM1592	TX50_RS08520	phycoerythrobilin:ferredoxin oxidoreductase
Q7V180	pepN	peptide with an N-terminal L-alanine + H2O  ->  L-alanine + peptide	EC-3.4.11.14 // EC-3.4.11.2	PMM1002	TX50_RS05350	aminopeptidase N
Q7V2L5	petA	oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // a plastoquinone[membrane] + 4 H+[in] + 2 e-[membrane]  ->  a plastoquinol[membrane] + 2 H+[out] // Q-cycle	EC-7.1.1.6	PMM0461	TX50_RS02480	cytochrome f
Q7V2X6	petB	oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // a plastoquinone[membrane] + 4 H+[in] + 2 e-[membrane]  ->  a plastoquinol[membrane] + 2 H+[out] // Q-cycle	EC-7.1.1.6	PMM0325	TX50_RS01690	cytochrome <i>b<sub>6</sub></i>
Q7V2L4	petC	oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // a plastoquinone[membrane] + 4 H+[in] + 2 e-[membrane]  ->  a plastoquinol[membrane] + 2 H+[out] // Q-cycle	EC-7.1.1.6	PMM0462	TX50_RS02485	cytochrome <i>b<sub>6</sub>f</i> complex iron-sulfur subunit
Q7TUF3	petD	oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized cytochrome c6[in] + e-[membrane]  ->  reduced cytochrome c6[in] // a plastoquinone[membrane] + 4 H+[in] + 2 e-[membrane]  ->  a plastoquinol[membrane] + 2 H+[out] // Q-cycle // 2 oxidized cytochrome c6[in] + a plastoquinol[membrane] + 2 H+[out]  ->  2 reduced cytochrome c6[in] + a plastoquinone[membrane] + 4 H+[in]	EC-7.1.1.6	PMM0326	TX50_RS01695	cytochrome <i>b<sub>6</sub>f</i> complex subunit IV
Q7V129	petG	oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // a plastoquinone[membrane] + 4 H+[in] + 2 e-[membrane]  ->  a plastoquinol[membrane] + 2 H+[out] // Q-cycle	EC-7.1.1.6	PMM1058	TX50_RS05685	cytochrome b6-f complex subunit PetG
Q7V115	petH	oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out] // NADP+[out] + H+[out] + 2 e-[membrane]  ->  NADPH[out] // 2 reduced ferredoxin [iron-sulfur] cluster[out] + NADP+[out] + H+[out]  <-->  2 oxidized ferredoxin [iron-sulfur] cluster[out] + NADPH[out]	EC-1.18.1.2	PMM1075	TX50_RS05770	ferredoxin&mdash;NADP<small><sup>+</sup></small> reductase
	petM	oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // a plastoquinone[membrane] + 4 H+[in] + 2 e-[membrane]  ->  a plastoquinol[membrane] + 2 H+[out] // Q-cycle	EC-7.1.1.6	PMM1152a	TX50_RS06215	cytochrome b6-f complex subunit PetM
Q7V1W2	petN	oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // a plastoquinone[membrane] + 4 H+[in] + 2 e-[membrane]  ->  a plastoquinol[membrane] + 2 H+[out] // Q-cycle	EC-7.1.1.6	PMM0740	TX50_RS03970	cytochrome b6-f complex subunit PetN
Q7V1I1	pgi	alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate	EC-5.3.1.9	PMM0890	TX50_RS04755	glucose-6-phosphate isomerase
Q7V390	pgk	3-phospho-D-glycerate + ATP  <-->  3-phospho-D-glyceroyl phosphate + ADP	EC-2.7.2.3	PMM0195	TX50_RS01010	phosphoglycerate kinase
Q7V1T4	pgl	6-phospho D-glucono-1,5-lactone + H2O  ->  D-gluconate 6-phosphate + H+	EC-3.1.1.31	PMM0771	TX50_RS04120	6-phosphogluconolactonase
Q7V3J9	pgm	phosphorylated phosphoglucomutase + alpha-D-glucopyranose 1-phosphate  <-->  alpha-glucose 1,6-bisphosphate + phosphoglucomutase // alpha-glucose 1,6-bisphosphate + phosphoglucomutase  <-->  D-glucopyranose 6-phosphate + phosphorylated phosphoglucomutase // alpha-D-glucopyranose 1-phosphate  <-->  D-glucopyranose 6-phosphate	EC-5.4.2.2	PMM0076	TX50_RS00405	phosphoglucomutase
Q7V1Q8	pgsA	a CDP-diacylglycerol + sn-glycerol 3-phosphate  ->  CMP + a phosphatidylglycerophosphate + H+	EC-2.7.8.5	PMM0798	TX50_RS04255	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
Q7TU35	pheA	prephenate + H+  ->  3-phenyl-2-oxopropanoate + CO2 + H2O	EC-4.2.1.51	PMM1504	TX50_RS08070	prephenate dehydratase
Q7V0I7	pheS	tRNAPhe + L-phenylalanine + ATP  ->  L-phenylalanyl-[tRNAPhe] + AMP + diphosphate	EC-6.1.1.20	PMM1270	TX50_RS06825	Phenylalanyl-tRNA synthetase alpha subunit
Q7V1J8	pheT	tRNAPhe + L-phenylalanine + ATP  ->  L-phenylalanyl-[tRNAPhe] + AMP + diphosphate	EC-6.1.1.20	PMM0871	TX50_RS04660	Phenylalanyl-tRNA synthetase beta subunit
Q7V220	phnC	ATP + phosphonate[out] + H2O  ->  ADP + phosphonate[in] + phosphate + H+ // ATP + phosphate[periplasm] + H2O  ->  ADP + phosphate[cytosol] + phosphate[cytosol] + H+	EC-7.3.2.2	PMM0671	TX50_RS03570	ABC-type phosphonate transporter, permease component
Q7V219	phnE	ATP + phosphonate[out] + H2O  ->  ADP + phosphonate[in] + phosphate + H+ // ATP + phosphate[periplasm] + H2O  ->  ADP + phosphate[cytosol] + phosphate[cytosol] + H+	EC-7.3.2.2	PMM0672	TX50_RS03575	ABC-type phosphonate transporter, ATP-binding protein component
Q7V1Y7	phoA	ethylphosphate + H2O  ->  ethanol + phosphate // a phosphate monoester + H2O  ->  an alcohol + phosphate	EC-3.1.3.1	PMM0708	TX50_RS03780	alkaline phosphatase
Q7V1Y8	phoR	a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	EC-2.7.13.3	PMM0706	TX50_RS03770	two-component sensor histidine kinase, phosphate sensing
Q7V310	phrB	dimer of non-adjacent pyrimidine nucleosides in DNA + hnu  ->  2 a pyrimidine nucleoside in DNA // dimer of adjacent pyrimidine nucleosides in DNA + hnu  ->  two adjacent pyrimidine nucleosides in DNA	EC-4.1.99.3	PMM0285	TX50_RS01480	deoxyribodipyrimidine photo-lyase
Q7TUE6	pip	peptide with an N-terminal L-proline + H2O  ->  L-proline + peptide	EC-3.4.11.5	PMM0356	TX50_RS01895	prolyl aminopeptidase
Q7V3D8	plsC	an acyl-CoA + a 2-lysophosphatidate  ->  a phosphatidate + coenzyme A // acyl-[acyl-carrier protein] + a 2-lysophosphatidate  ->  a phosphatidate + acyl-carrier protein // acyl-[acyl-carrier protein] + 1-stearoyl-sn-glycerol 3-phosphate  ->  a 1-stearoyl 2-acyl-sn-glycerol 3-phosphate + acyl-carrier protein	EC-2.3.1.51	PMM0138	TX50_RS00725	1-acyl-sn-glycerol-3-phosphate acyltransferase
Q7V3E1	plsX	acyl-[acyl-carrier protein] + phosphate  <-->  an acyl phosphate + acyl-carrier protein	EC-2.3.1.274	PMM0135	TX50_RS00710	phosphate acyltransferase
Q7V0D9	plsY	an acyl phosphate + sn-glycerol 3-phosphate  ->  a 2-lysophosphatidate + phosphate	EC-2.3.1.275	PMM1327	TX50_RS07125	glycerol-3-phosphate 1-<em>O</em>-acyltransferase
Q7V3R4	PMM0005	negatively supercoiled DNA  =  relaxed DNA // double stranded DNA + ATP  ->  negatively supercoiled DNA + ADP + phosphate	EC-5.6.2.1 // EC-5.6.2.2	PMM0005	TX50_RS00040	DNA topoisomerase 4 subunit A
Q7V3P6	PMM0025	a [protein]-L-proline (omega = 180)  <-->  a [protein]-L-proline (omega = 0)	EC-5.2.1.8	PMM0025	TX50_RS00140	peptidyl-prolyl cis-trans isomerase
Q7V3M3	PMM0052	3,5,7,9,11,13,15-hepta-oxo-hexadecanoyl-[PKS-acp] + NADPH + H+  ->  9-hydroxy-3,5,7,11,13,15-hexaoxohexadecanoyl-[PKS-acp] + NADP+	EC-1.3.1	PMM0052	TX50_RS00275	aldo/keto reductase
Q7V3J6	PMM0079	[2-Cys peroxiredoxin] with reduced L-cysteine residues + an organic hydroperoxide  ->  [2-Cys peroxiredoxin] with hydroxylated L-cysteine + an alcohol // [2-Cys peroxiredoxin] with hydroxylated L-cysteine  ->  [2-Cys peroxiredoxin] with a disulfide bond + H2O // reduced thioredoxin + [2-Cys peroxiredoxin] with a disulfide bond  ->  oxidized thioredoxin + [2-Cys peroxiredoxin] with reduced L-cysteine residues // reduced thioredoxin + an organic hydroperoxide  ->  oxidized thioredoxin + an alcohol + H2O	EC-1.11.1.24	PMM0079	TX50_RS00420	thioredoxin-dependent thiol peroxidase
Q7V3J5	PMM0080	(R)-pantothenate + ATP  ->  (R)-4'-phosphopantothenate + ADP + H+	EC-2.7.1.33	PMM0080	TX50_RS00425	type III pantothenate kinase
Q7V3J2	PMM0083	sulfate:sodium symport		PMM0083	TX50_RS00440	putative sodium/sulfate transporter, DASS family
Q7V3H9	PMM0096	a myo-inositol monophosphate + H2O  ->  myo-inositol + phosphate // 1D-myo-inositol 6-monophosphate + H2O  ->  myo-inositol + phosphate // 1D-myo-inositol 5-monophosphate + H2O  ->  myo-inositol + phosphate // 1D-myo-inositol 4-monophosphate + H2O  ->  myo-inositol + phosphate // 1D-myo-inositol 3-monophosphate + H2O  ->  myo-inositol + phosphate // 1D-myo-inositol 2-monophosphate + H2O  ->  myo-inositol + phosphate // 1D-myo-inositol 1-monophosphate + H2O  ->  myo-inositol + phosphate	EC-3.1.3.25	PMM0096	TX50_RS00510	inositol phosphatase
Q7V3G9	PMM0106	7,8-dihydroneopterin 3'-triphosphate  ->  (6R)-6-pyruvoyl-5,6,7,8-tetrahydropterin + triphosphate + H+	EC-4.2.3.12	PMM0106	TX50_RS00565	6-pyruvoyltetrahydropterin synthase
Q7V3E6	PMM0130	ATP + dTMP  ->  ADP + dTDP	EC-2.7.4.12 // EC-2.7.4.13 // EC-2.7.4.9	PMM0130	TX50_RS00685	dTMP kinase
Q7V3D5	PMM0141	tRNA precursor + 2 CTP + ATP  ->  tRNA containing a 3' CCA end + 3 diphosphate	EC-2.7.7.72	PMM0141	TX50_RS00740	CCA tRNA nucleotidyltransferase
Q7V3D3	PMM0143	prephytoene diphosphate  ->  15-cis-phytoene + diphosphate // 2 geranylgeranyl diphosphate  ->  prephytoene diphosphate + diphosphate // 2 geranylgeranyl diphosphate  ->  15-cis-phytoene + 2 diphosphate	EC-2.5.1.32	PMM0143	TX50_RS00750	phytoene synthase
Q7V3C5	PMM0153	a 5-methyltetrahydrofolate + 2 oxidized ferredoxin [iron-sulfur] cluster  =  a 5,10-methylenetetrahydrofolate + 2 reduced ferredoxin [iron-sulfur] cluster + 2 H+	EC-1.5.7.1	PMM0153	TX50_RS00800	methylenetetrahydrofolate reductase
Q7V3B8	PMM0163	thiosulfate + hydrogen cyanide  ->  sulfite + thiocyanate + 2 H+ // sulfurated [sulfur carrier] + hydrogen cyanide  ->  unsulfurated [sulfur carrier] + thiocyanate + H+ // S-sulfanylglutathione + sulfite + H+  =  thiosulfate + glutathione	EC-2.8.1.1	PMM0163	TX50_RS00850	rhodanese
Q7V3B2	PMM0170	cysteine:[ThiI sulfur-carrier protein]-L-cysteine sulfurtransferase desulfurase // L-cysteine + [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex  ->  L-alanine + S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex // L-cysteine + unsulfurated [sulfur carrier]  ->  L-alanine + sulfurated [sulfur carrier] // L-cysteine + L-cysteine desulfurase  ->  L-alanine + S-sulfanyl-[L-cysteine desulfurase] // L-cysteine + carboxy-adenylated-[ThiS sulfur-carrier protein] + a reduced two electron carrier  ->  thiocarboxy-[ThiS-Protein] + L-alanine + AMP + an oxidized electron carrier + 2 H+ // L-cysteine + an [L-cysteine desulfurase]-L-cysteine  ->  L-alanine + an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine // L-cysteine + a [TusA]-L-cysteine  ->  L-alanine + a [TusA sulfur-carrier protein]-S-sulfanyl-L-cysteine // L-cysteine + a [molybdopterin synthase sulfurtransferase]-L-cysteine  ->  L-alanine + a [molybdopterin synthase sulfurtransferase]-S-sulfanyl-L-cysteine // L-cysteine + a [cytidylyl molybdenum cofactor chaperone]-cytidylyl molybdenum cofactor + a reduced two electron carrier  ->  L-alanine + a [cytidylyl molybdenum cofactor chaperone]-cytidylyl molybdenum cofactor (sulfo-dioxo) + an oxidized electron carrier + H2O // L-cysteine + a [bis(guanylyl molybdopterin) cofactor chaperone]-L-cysteine  ->  L-alanine + a [bis(guanylyl molybdopterin) cofactor chaperone]-S-sulfanyl-L-cysteine // an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + [ThiI sulfur-carrier protein]-L-cysteine  =  an [L-cysteine desulfurase]-L-cysteine + [ThiI sulfur-carrier protein]-S-sulfanyl-L-cysteine // an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + unsulfurated [sulfur carrier]  <-->  an [L-cysteine desulfurase]-L-cysteine + sulfurated [sulfur carrier] // an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + carboxy-adenylated-[ThiS sulfur-carrier protein] + a reduced two electron carrier  ->  thiocarboxylated-[ThiS sulfur-carrier protein] + an [L-cysteine desulfurase]-L-cysteine + AMP + an oxidized electron carrier + 2 H+ // an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + a [TusA]-L-cysteine  ->  an [L-cysteine desulfurase]-L-cysteine + a [TusA sulfur-carrier protein]-S-sulfanyl-L-cysteine // an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + a [molybdopterin synthase sulfurtransferase]-L-cysteine  ->  an [L-cysteine desulfurase]-L-cysteine + a [molybdopterin synthase sulfurtransferase]-S-sulfanyl-L-cysteine // an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + a [bis(guanylyl molybdopterin) cofactor chaperone]-L-cysteine  ->  an [L-cysteine desulfurase]-L-cysteine + a [bis(guanylyl molybdopterin) cofactor chaperone]-S-sulfanyl-L-cysteine	EC-2.8.1.7	PMM0170	TX50_RS00885	cysteine desulfurase
Q7TUG7	PMM0191	pppGpp + H2O  ->  GTP + diphosphate // ppGpp + H2O  ->  GDP + diphosphate // ATP + GTP  ->  pppGpp + AMP + H+ // ATP + GDP  ->  AMP + ppGpp + H+	EC-3.1.7.2 // EC-2.7.6.5	PMM0191	TX50_RS00990	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
Q7V393	PMM0192	ATP + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[out] + H2O  ->  L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[in] + ADP + phosphate + H+ // an oligopeptide[out] + ATP + H2O  ->  an oligopeptide[in] + ADP + phosphate + H+	EC-7.4.2.6	PMM0192	TX50_RS00995	ABC-type oligopeptide transporter
Q7V392	PMM0193	a uridine38-40 in tRNA  ->  a pseudouridine38-40 in tRNA	EC-5.4.99.12	PMM0193	TX50_RS01000	RluA family pseudouridine synthase
Q7V391	PMM0194	GTP + H2O  ->  GDP + phosphate + H+	EC-3.6.1.15 // EC-3.6.5.6 // EC-3.6.5.5 // EC-3.6.5.4 // EC-3.6.5.3 // EC-3.6.5.2 // EC-3.6.5.1 // EC-3.6.1	PMM0194	TX50_RS01005	Predicted GTPase
Q7V377	PMM0208	2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O	EC-4.2.1.11	PMM0208	TX50_RS01075	phosphopyruvate hydratase
P59830	PMM0222	N-acetyl-L-aspartate + H2O  ->  L-aspartate + acetate // an N-acyl-L-aspartate + H2O  ->  L-aspartate + a carboxylate	EC-3.5.1.15	PMM0222	TX50_RS01145	aspartoacylase
Q7TUG5	PMM0234	alkylated DNA + H2O  ->  DNA containing an apurinic/apyrimidinic site + an alkylated nucleobase	EC-3.2.2.21	PMM0234	TX50_RS01205	DNA-3-methyladenine glycosylase
